C1,C2,C3,C4,C5,C6,C7,C8,Marker
-1,-1,-2,-1,-4,-2,-1,0,STOP_DRAW
0,0,1,0,0,-1,-1,-3,NAN
-2,-3,-2,-2,0,1,2,-7,NAN
-1,0,0,0,-1,0,1,0,NAN
-2,0,0,-3,0,0,-3,-1,NAN
-1,0,-1,-1,-2,0,0,-1,NAN
-4,-1,-1,0,-1,0,3,0,NAN
0,-2,-2,1,0,-1,2,0,NAN
-3,-3,1,0,0,1,0,-2,NAN
0,-1,0,0,-4,-2,-2,3,NAN
1,-1,-3,-3,-3,-4,2,8,NAN
-3,-1,-1,-1,0,2,3,-2,NAN
-2,-2,-1,-1,-2,-3,-4,1,NAN
-2,-2,-1,0,-2,0,-2,-6,NAN
-2,-3,0,0,-1,1,1,-1,NAN
-1,-1,-1,-3,-2,-1,-3,-1,NAN
1,-2,-3,-3,-1,-1,-4,1,NAN
0,2,-2,-3,-1,-2,1,0,NAN
-2,0,1,-1,0,-1,6,-5,NAN
1,-3,-2,0,-1,-2,2,3,NAN
-1,-1,0,0,0,0,-1,-3,NAN
0,-4,-3,-1,-1,-4,-2,-4,NAN
0,0,0,0,1,1,1,-3,NAN
1,-1,-1,-2,-2,-3,2,0,NAN
-3,2,0,-1,0,-1,-2,1,NAN
0,-2,-2,0,0,0,-3,0,NAN
-2,0,1,0,-1,-1,2,-2,NAN
-4,-2,-1,0,0,-3,-5,-4,NAN
0,-1,-1,0,-2,-1,-5,-4,NAN
-2,-1,0,-2,0,4,3,-3,NAN
0,-3,-2,-2,0,-5,1,4,NAN
0,-3,0,0,-2,0,-1,-2,NAN
0,-1,-1,-1,-2,-3,0,-3,NAN
0,0,0,-1,-1,-2,-1,-1,NAN
-2,0,0,-2,-3,0,0,-2,NAN
-3,-1,-1,-1,-1,-1,4,-1,NAN
2,-2,-2,-2,-1,-2,-3,2,NAN
-3,-1,-1,2,-1,-3,-2,1,NAN
-4,0,0,-2,-1,1,-3,-4,NAN
2,0,-4,-1,-2,-4,0,0,NAN
0,-2,-1,0,-1,0,-5,-3,NAN
-1,-1,0,-2,-2,-1,-1,0,NAN
-2,-1,0,0,0,1,2,-3,NAN
2,0,0,-1,-2,-4,0,7,NAN
-2,0,-1,-2,-3,0,-1,-2,NAN
0,0,-1,0,1,2,0,-3,NAN
2,-2,-4,-1,-3,-5,-1,2,NAN
-2,-1,0,-2,0,0,2,-2,NAN
1,0,-2,-1,-2,-2,-3,1,NAN
0,0,-1,-2,-2,-3,-2,3,NAN
-2,-1,-1,-2,-1,2,2,-2,NAN
0,0,-1,0,-1,0,-2,-2,NAN
1,-1,-1,-1,0,-2,-1,0,NAN
-3,-3,-5,-1,-1,-2,-1,0,NAN
0,-1,-2,0,0,-2,-3,-2,NAN
-1,-1,-3,0,0,0,6,-1,NAN
-4,-2,1,2,-2,-1,-3,-4,NAN
-2,-2,-2,-3,-1,-1,-1,2,NAN
-3,-1,-1,-2,-2,-2,2,1,NAN
-2,-2,0,-3,0,2,2,-2,NAN
-3,0,1,0,0,-2,-3,-2,NAN
2,0,-1,-2,-4,-3,1,2,NAN
2,1,-2,0,0,0,0,3,NAN
-2,-2,-3,0,-1,0,0,-3,NAN
-2,-2,1,0,-1,3,-1,-4,NAN
1,-1,0,-1,-3,-6,1,1,NAN
-1,-1,1,0,0,1,0,-3,NAN
-1,0,1,-3,-3,-1,3,-2,NAN
0,-1,-1,-1,-1,-1,-1,-2,NAN
-1,-1,1,-1,1,2,-4,-3,NAN
1,1,-3,-2,-2,-1,-1,-1,NAN
-3,-1,0,0,0,-3,-3,-2,NAN
-1,0,0,-2,-2,-2,-2,0,NAN
-3,-2,-2,-1,0,-2,4,-2,NAN
-3,-1,-1,-3,-1,1,1,-1,NAN
-1,-2,-2,-2,-1,1,-1,-2,NAN
0,-1,-3,0,0,-2,1,1,NAN
1,-1,0,-1,-4,0,1,3,NAN
-2,-1,-1,0,-2,-2,3,0,NAN
0,-1,-1,0,-2,-3,4,-2,NAN
-2,-2,0,0,1,2,-3,-2,NAN
2,0,-4,-1,-1,-1,1,0,NAN
-3,-2,2,-3,-1,2,5,-2,NAN
2,1,-1,0,-2,-5,1,4,NAN
-2,-2,-2,-2,-1,0,0,-2,NAN
-2,0,1,1,2,0,2,-4,NAN
-2,-2,-1,-1,1,-2,1,-3,NAN
1,-1,-2,-2,-3,0,2,-1,NAN
-1,1,-1,-4,-2,-3,-7,0,NAN
-2,-2,-3,-1,-2,-1,3,-3,NAN
0,-1,-3,-1,-1,-3,-3,-1,NAN
-2,-2,0,-1,-1,0,0,0,NAN
-1,0,-2,1,0,-1,-4,-1,NAN
-1,0,-2,-3,-1,0,1,0,NAN
1,-2,-2,0,-1,-2,0,1,NAN
-2,-1,-1,-1,0,1,3,-4,NAN
-1,0,0,-1,-1,-1,-6,-1,NAN
-1,0,0,0,-2,2,-2,-4,NAN
3,-1,0,-2,-2,-1,-1,8,NAN
-3,-2,-1,0,-1,2,1,-3,NAN
2,0,-2,-2,-3,-4,-9,5,NAN
-2,-2,0,-1,0,0,2,-4,NAN
-3,-2,-1,-1,-2,0,-2,-3,NAN
-2,-2,-2,-1,-2,1,0,-2,NAN
1,1,-1,-2,-1,-2,-3,-3,NAN
-2,-1,0,0,0,-2,-2,0,NAN
1,0,-1,-3,-3,-3,-11,0,NAN
0,-1,-1,-3,-1,-3,-2,0,NAN
0,-2,-1,1,-1,-2,-1,-2,NAN
-1,-2,-2,0,-1,-1,0,-3,NAN
-3,-3,-2,0,0,-1,3,-2,NAN
-3,-1,0,-1,1,1,-3,-2,NAN
2,-2,-2,-3,-1,-1,-5,0,NAN
-1,-3,-1,0,1,1,2,-2,NAN
-3,-1,-2,-1,-1,1,4,-6,NAN
0,-1,0,-1,-2,-7,-2,2,NAN
-1,-1,-1,-1,0,2,-2,-2,NAN
-1,-1,-1,-1,0,0,1,-3,NAN
2,-2,-2,-2,0,-3,-11,5,NAN
-3,-4,-1,0,-1,0,0,-1,NAN
-2,-2,-1,-1,-1,-1,-4,-4,NAN
-1,-1,-1,-1,-1,-3,-4,0,NAN
-3,-1,-2,0,-2,-2,4,-3,NAN
-1,0,-1,-3,-1,-1,-2,-1,NAN
0,-2,-1,-1,-2,-1,-4,0,NAN
-2,0,1,1,-1,0,0,0,NAN
-1,-1,-1,0,-2,-1,3,-4,NAN
-2,-3,-2,0,-3,-1,2,0,NAN
-4,-1,0,-1,1,-1,-2,0,NAN
-1,0,-3,-6,-2,-1,-2,1,NAN
-2,-1,0,2,-1,2,-8,-5,NAN
0,-1,-4,0,0,-2,-2,-2,NAN
-3,-1,-1,-1,2,-1,-3,-3,NAN
-1,0,0,-1,-2,-1,-2,-4,NAN
0,1,-1,-3,-1,-2,0,2,NAN
1,1,-2,0,-1,-1,-1,-2,NAN
-1,-1,-2,-1,-2,-4,-5,0,NAN
-3,-2,-2,-1,0,0,-1,2,NAN
-1,-2,-2,-1,0,-1,4,-3,NAN
-1,-1,-2,-3,-1,1,-1,-1,NAN
-2,0,0,0,0,0,-1,-2,NAN
0,-2,-1,-1,-2,-1,-2,0,NAN
-1,1,-1,1,-1,-1,-10,1,NAN
-1,1,-1,-3,-2,0,1,-2,NAN
-2,1,-1,-2,-1,-1,-3,-1,NAN
1,-2,-1,-1,-2,-1,1,-1,NAN
-1,-1,0,-2,0,-1,2,-2,NAN
0,-2,-2,-3,-2,-3,0,1,NAN
0,0,0,-2,-1,-1,-1,1,NAN
-1,-1,1,0,-2,0,0,-2,NAN
1,1,-1,-2,-2,-3,5,4,NAN
-1,-1,0,0,-1,0,0,-2,NAN
0,-2,-2,-1,-2,-3,-1,-3,NAN
-1,1,-1,0,-1,-1,2,-1,NAN
0,-3,-1,-4,-1,0,1,-1,NAN
-4,0,-2,-1,-1,1,0,-4,NAN
2,0,-1,0,-4,-5,-1,3,NAN
-2,0,-1,0,-1,-1,2,-1,NAN
-4,-1,-1,-2,-3,-2,5,-8,NAN
-1,-2,-1,-1,2,2,5,-1,NAN
-2,-2,-1,0,0,2,-4,-2,NAN
0,-3,-1,-1,0,-3,0,-1,NAN
-3,-2,-2,2,0,-2,1,-1,NAN
1,-2,-2,-2,-1,0,-3,1,NAN
-1,0,-2,-2,1,1,0,-4,NAN
-2,-1,0,0,-2,-1,1,-1,NAN
-3,-1,0,-1,-1,0,2,1,NAN
-2,-2,-2,-1,-3,-4,1,4,NAN
0,-1,0,-1,1,0,-4,-1,NAN
-2,-1,-1,-3,-1,-3,-5,0,NAN
-2,-1,0,-2,-1,2,3,-2,NAN
2,0,0,-2,-2,-5,0,3,NAN
-2,-1,1,1,0,-1,-1,-4,NAN
1,-1,-1,-3,0,1,4,0,NAN
-1,0,1,0,0,-1,-4,-2,NAN
0,2,1,-1,0,0,-1,5,NAN
0,1,0,-1,0,1,-3,0,NAN
3,-1,0,-2,-3,-4,-1,1,NAN
-1,0,-1,-3,1,-2,-2,1,NAN
-4,-1,3,2,-1,2,0,-6,NAN
1,-3,-1,-2,-1,-3,-5,1,NAN
-1,1,-1,-1,-1,-1,2,-3,NAN
2,0,-2,-1,-1,-3,-2,2,NAN
0,-1,-2,-1,-1,-1,-2,-3,NAN
1,0,-2,-1,-5,-4,-4,6,NAN
-2,-2,-1,-3,-1,0,-1,-2,NAN
0,-1,0,-2,-2,-3,1,0,NAN
-2,0,1,-1,-3,-1,0,-4,NAN
-3,0,-1,-1,-1,5,0,-7,NAN
2,0,-3,-3,-2,-4,-6,6,NAN
-1,-2,-1,-2,0,-1,-1,1,NAN
-3,-3,0,-1,0,0,2,-4,NAN
0,0,-2,-1,-2,0,-4,-3,NAN
-2,-1,-2,0,0,0,-2,-3,NAN
-2,-3,-2,-2,0,1,-1,0,NAN
-3,-2,-1,0,0,-3,0,-2,NAN
2,0,-1,-3,-2,-3,-4,-3,NAN
0,1,2,1,-1,-2,-3,1,NAN
-2,-1,-2,0,-1,1,2,-5,NAN
1,1,1,-2,-2,0,-7,0,NAN
-2,-1,-2,1,0,-3,-5,-4,NAN
-2,-3,-1,-1,-1,1,-3,-3,NAN
1,0,-2,-2,-1,-1,-4,-3,NAN
-1,0,-1,-1,-1,0,2,2,NAN
-3,-1,-1,1,1,0,0,-2,NAN
-2,-2,-2,-1,-1,1,0,-4,NAN
2,0,-4,-2,-3,-7,0,5,NAN
0,-1,-1,-2,-1,-2,0,-2,NAN
-3,-1,2,0,-2,-1,-4,-1,NAN
-3,-2,-1,-1,0,1,1,-4,NAN
-1,0,2,-2,-1,-2,-1,-1,NAN
2,-1,-4,-2,-1,-3,-5,-6,NAN
-1,0,-2,-2,0,-3,-2,-2,NAN
-1,-2,0,-2,-1,0,0,-1,NAN
-4,-3,-1,-1,-2,1,-3,-3,NAN
2,-2,-3,-4,-3,-6,-6,8,NAN
-1,-2,-1,-3,2,1,1,-2,NAN
0,-1,-2,1,-1,-2,2,-1,NAN
0,-1,0,-1,-1,-1,0,-4,NAN
-1,-2,-2,1,0,-1,1,0,NAN
1,1,-1,-3,-2,-2,-5,-1,NAN
-1,0,-1,-1,-1,-4,1,0,NAN
-2,0,-2,-1,0,-1,-5,-3,NAN
0,0,-1,-1,-2,-1,-4,-3,NAN
-1,-3,-2,-1,-2,1,1,1,NAN
-2,-2,1,-1,1,0,0,-3,NAN
0,2,-1,0,-2,1,-1,0,NAN
-2,1,0,0,-1,0,-2,2,NAN
0,-1,-1,-2,-5,0,3,3,NAN
-2,0,-2,-2,-1,-3,6,1,NAN
-2,-2,0,-3,-1,-2,0,0,NAN
0,0,0,-2,0,-1,-2,-2,NAN
-3,-2,0,-2,3,-1,5,-5,NAN
-1,-1,-3,0,-3,0,1,-1,NAN
-2,-2,-2,0,0,-1,1,-2,NAN
-4,-1,-2,0,0,0,-1,-2,NAN
-1,2,1,-2,-2,0,-1,-2,NAN
2,0,-2,-2,-3,-2,-2,-1,NAN
0,-3,-1,-1,-2,0,1,-1,NAN
-2,-3,0,-2,1,1,-3,-3,NAN
-1,-1,0,-2,0,-1,1,0,NAN
-1,-1,0,-1,0,-4,3,1,NAN
-2,0,0,0,-2,-1,1,0,NAN
-2,-3,0,-2,-2,-1,1,-1,NAN
-1,0,-2,0,0,-1,-1,-2,NAN
-2,-3,-1,-3,-2,-1,3,0,NAN
1,-1,-4,1,-1,-1,2,1,NAN
0,-1,-1,-1,-1,0,-4,-2,NAN
-2,-2,-1,-1,-2,-1,1,-1,NAN
-2,1,-1,-1,-2,-1,-3,-2,NAN
0,1,-2,-1,-2,-1,-2,1,NAN
1,0,0,2,-2,0,8,0,NAN
0,0,-1,-2,-1,0,-2,1,NAN
-3,-1,1,-1,0,-1,0,-4,NAN
0,-1,-1,-2,-2,-1,-3,-2,NAN
-1,-2,-1,-1,-1,-1,-5,1,NAN
-2,0,-2,-1,0,-2,1,-1,NAN
-1,-1,-1,-4,-1,-2,0,-1,NAN
-1,-2,-2,0,1,-1,-3,-1,NAN
0,-1,-1,-1,1,-2,1,-4,NAN
-5,-2,-1,1,1,4,0,-6,NAN
-1,-2,-2,-1,-3,-2,-4,2,NAN
-1,-1,-1,-1,-2,-1,1,0,NAN
-2,-2,0,0,2,0,-3,-3,NAN
-1,0,-2,-3,-1,-4,2,0,NAN
-1,0,-2,1,0,-1,1,0,NAN
-1,-2,1,-1,-2,-1,0,-2,NAN
-1,1,-1,0,-3,-1,-2,0,NAN
1,-1,0,-2,-3,-2,0,0,NAN
-2,-3,-1,2,0,0,4,0,NAN
0,-1,-2,0,2,0,3,-2,NAN
0,-1,-2,-1,-1,0,-2,-2,NAN
0,1,1,-1,-2,-1,-4,0,NAN
1,-1,-1,-2,1,1,-1,1,NAN
-4,-2,1,2,-1,-1,1,-5,NAN
0,-2,-1,-2,-3,-3,-1,-2,NAN
-1,-2,-1,0,-3,1,-2,-5,NAN
-4,0,-1,-1,-1,2,1,-5,NAN
-1,-2,-1,-3,0,-3,-5,2,NAN
0,1,-1,-3,0,-2,-2,3,NAN
0,-1,-1,1,0,0,2,-4,NAN
-1,-1,-2,1,-1,-1,-3,-2,NAN
4,0,-2,-5,-5,-3,-3,2,NAN
-2,-1,-2,-2,-1,-1,-3,-1,NAN
0,0,-2,-3,-2,0,-3,1,NAN
0,0,-3,-4,-1,-2,-1,1,NAN
-2,2,-2,-1,-2,-1,-2,-2,NAN
-3,-2,0,-1,1,-1,-4,-2,NAN
-2,0,0,0,-1,-1,0,0,NAN
1,-3,-1,-4,-4,-1,-2,-2,NAN
-1,-1,1,-1,1,-3,-11,3,NAN
-3,0,0,-1,-1,0,2,-5,NAN
-1,-2,-1,-2,0,-2,-3,-1,NAN
0,-2,-1,-3,-1,-1,-3,-2,NAN
-3,-2,1,0,-2,1,5,-2,NAN
1,0,-1,0,0,0,-8,0,NAN
-1,0,-1,-1,1,1,0,-1,NAN
3,1,-2,-2,-5,-4,-2,3,NAN
-2,-2,-1,0,0,0,4,-2,NAN
-1,-1,-1,-1,-1,-1,0,-1,NAN
0,1,-2,-2,-1,0,2,-1,NAN
-1,-2,-1,-2,-2,-1,0,0,NAN
1,-1,-1,-2,-2,-1,-9,0,NAN
0,0,-2,-2,-1,-2,0,1,NAN
1,-1,-2,-1,0,-5,0,0,NAN
-2,-2,-2,-1,-1,-1,-2,-2,NAN
-1,-4,-4,-2,-2,-1,5,-2,NAN
-2,0,1,-1,0,0,4,-3,NAN
-2,-1,-1,1,-1,-1,-1,1,NAN
-3,0,1,-1,0,-2,4,1,NAN
-2,-1,-1,1,0,1,5,0,NAN
2,-2,-2,-1,-2,-1,-5,-1,NAN
0,-1,-2,-2,-1,-1,2,0,NAN
0,-1,-1,0,0,1,-1,0,NAN
2,-1,-2,-1,-4,-6,-9,3,NAN
1,-1,-3,-1,-1,-2,1,0,NAN
0,-2,-1,0,-1,-3,-1,-3,NAN
-2,-1,-2,0,0,0,1,-2,NAN
-2,-1,-1,-3,-1,1,5,-3,NAN
-1,-2,-1,0,0,1,3,3,NAN
0,-3,-2,-1,-3,-2,-4,2,NAN
-1,0,1,0,-1,-1,0,-1,NAN
-2,-2,0,-2,0,0,3,-1,NAN
-4,2,0,0,-1,-1,-2,-4,NAN
0,1,-3,-1,0,1,2,-2,NAN
0,1,-2,-1,-2,-2,-2,-3,NAN
-1,-2,-2,-1,-3,1,1,2,NAN
3,-1,-1,-3,-7,-5,-5,8,NAN
-2,-1,1,1,0,-2,0,-3,NAN
-2,-2,-1,1,-3,-2,0,-1,NAN
-1,0,1,0,0,0,3,-6,NAN
1,-2,-4,0,-2,-5,4,4,NAN
0,-1,0,-1,-1,-1,-3,-1,NAN
-1,-2,1,0,-1,-2,0,-2,NAN
-1,1,-3,-1,0,0,-3,-4,NAN
-3,0,-2,-1,0,0,0,-4,NAN
-2,-2,0,-1,2,0,0,1,NAN
-2,-2,-1,-3,-1,-2,-4,-1,NAN
-1,-2,1,-2,-3,-3,-7,-1,NAN
0,0,-1,-1,-1,-1,-3,-2,NAN
1,-1,-3,-2,-1,-2,0,0,NAN
-2,-1,-1,-2,-2,1,0,-1,NAN
-1,-2,0,-3,-1,-1,0,2,NAN
-4,-2,0,1,-1,1,-2,-7,NAN
-1,-1,0,-1,-1,-1,-1,-2,NAN
0,-2,-3,-1,-2,-2,-3,1,NAN
0,0,-3,0,-1,1,-2,2,NAN
-2,-2,-1,0,2,1,0,-5,NAN
-2,-1,-2,0,-2,-1,0,-1,NAN
1,0,-1,-1,-1,-2,-3,-1,NAN
-1,1,-2,-2,0,3,-4,-3,NAN
-2,-2,-1,-1,-2,-3,-3,0,NAN
-1,-3,-2,1,-2,-2,1,-2,NAN
-2,-2,-1,0,-1,-1,-3,0,NAN
-2,1,-1,0,1,-2,2,-1,NAN
2,1,-1,-2,-1,-1,-2,0,NAN
0,0,0,-2,-3,-1,-3,0,NAN
0,-1,-1,-3,-1,-1,2,-4,NAN
1,-3,-1,-3,-2,-1,2,-3,NAN
-1,1,0,-2,-2,0,-5,-1,NAN
-1,-1,-3,-1,-1,-1,1,-2,NAN
0,-2,0,-1,-2,0,-3,-2,NAN
1,1,-2,-2,-3,-3,-5,-2,NAN
-2,-3,-2,-1,1,1,-1,-12,NAN
0,-1,-1,-1,-2,-1,1,0,NAN
-2,0,0,0,-1,0,-3,-2,NAN
0,-3,-2,-1,0,-2,2,2,START_TOUCHING
-1,-2,-1,-1,-1,0,-3,0,START_DRAW
-1,-2,0,-4,-3,-2,1,-1,NAN
0,1,-1,-1,0,-3,2,0,NAN
-2,0,0,0,0,-1,-4,-2,NAN
0,1,0,0,0,-2,-4,2,NAN
-2,-2,-1,-1,0,2,4,-2,NAN
1,0,-3,-2,-1,-4,-2,8,NAN
-3,-2,-1,1,0,-1,2,-4,NAN
0,2,-1,-2,-2,-1,0,0,NAN
0,-1,-1,-1,-1,0,2,-3,NAN
-3,-2,-1,-1,1,0,0,-4,NAN
-1,-2,-2,-1,-2,-2,3,0,NAN
-2,0,-3,1,-1,-2,-2,-1,NAN
0,1,1,-1,-3,0,1,1,NAN
-4,-3,-3,-1,1,0,0,-3,NAN
-2,1,0,-1,-2,-1,1,-9,NAN
1,0,0,0,0,-1,1,-2,NAN
0,-2,-2,-3,-2,-2,4,5,NAN
-1,-1,1,-1,-1,1,0,-2,NAN
-2,-1,-1,-1,0,-1,-1,1,NAN
-3,-3,0,-1,-2,-1,0,-1,NAN
-3,0,-2,0,2,-1,4,-6,NAN
1,0,-1,-1,-2,-2,-1,2,NAN
-2,-1,0,-1,-1,-2,0,2,NAN
2,-2,-2,-2,-3,-2,-8,0,NAN
-2,-1,-1,-1,-2,-3,-3,1,NAN
-1,-1,1,-3,-1,1,2,-3,NAN
4,-1,-1,-2,-3,-5,-3,7,NAN
-3,-1,-2,0,-1,0,-4,-2,NAN
-1,-1,0,0,-2,-2,-2,-1,NAN
-1,-1,0,0,-1,-2,-2,-1,NAN
-2,-2,-1,-3,-3,1,-4,-1,NAN
-2,-2,0,-2,-2,0,0,-1,NAN
0,-1,-2,-1,1,-1,0,-1,NAN
0,0,-1,-1,-2,-2,0,0,NAN
0,-2,-1,0,0,1,-5,-2,NAN
2,0,0,-3,-3,-4,-4,3,NAN
-6,-3,-3,-1,1,1,2,-12,NAN
-3,-2,-1,0,-1,-1,-5,-1,NAN
-2,-1,-2,1,0,0,2,0,NAN
-1,-1,-1,0,-1,-1,-4,-3,NAN
-1,-1,-1,0,-2,0,-1,0,NAN
-1,-1,-1,-2,-2,-2,1,1,NAN
-4,0,0,-2,-2,-1,-6,-3,NAN
1,-1,0,-2,-2,-1,-4,-1,NAN
0,0,0,-2,-1,-1,2,2,NAN
5,0,-1,-1,-4,-7,-1,6,NAN
1,-1,-2,-1,1,0,-6,0,NAN
-3,-1,-1,-2,1,-1,-1,-1,NAN
0,-2,1,-4,-3,-1,-3,-1,NAN
0,-2,-3,0,-3,-1,-4,-2,NAN
0,-1,0,-2,-1,-2,-1,-2,NAN
-2,-1,-1,0,0,-1,-3,0,NAN
1,-2,-1,-4,-2,-2,0,4,NAN
-6,-2,0,-1,2,4,0,-9,NAN
-1,0,-2,2,-3,-6,-3,2,NAN
-3,-1,-1,0,-2,1,0,-1,NAN
0,-1,-2,2,-2,-2,3,1,NAN
-3,-2,0,-2,-1,1,-2,-3,NAN
-2,0,-3,-2,-2,-1,-1,-1,NAN
0,-2,-1,-1,1,-3,-1,-1,NAN
-1,-1,-1,-2,-2,0,-2,-2,NAN
1,-2,-1,-2,-2,-3,1,0,NAN
-1,-3,2,0,0,-1,-2,0,NAN
0,0,-3,-2,-2,-3,-2,-1,NAN
-1,0,-1,-2,0,-2,4,-1,NAN
-2,-1,-2,-2,-1,0,-3,-3,NAN
-2,1,-3,-1,-2,-1,-4,-4,NAN
-2,-2,-1,0,0,1,2,-3,NAN
-1,-2,-1,0,-2,-1,-2,0,NAN
-1,0,0,-1,-2,-1,-1,0,NAN
-1,-3,-2,-1,0,-2,4,0,NAN
0,1,0,-2,-4,-1,-1,1,NAN
-1,-1,1,-2,-1,-1,-5,-1,NAN
-2,0,-2,-3,-1,-1,-2,1,NAN
2,1,-1,-1,-3,-4,-5,0,NAN
-1,1,0,0,0,-2,-6,-4,NAN
-2,-3,0,1,0,1,3,-1,NAN
0,1,-1,-1,0,-2,0,-2,NAN
-1,-2,-1,0,1,3,2,-4,NAN
0,-2,-1,-3,-3,-2,-2,1,NAN
-2,-1,-2,0,-1,-1,0,0,NAN
-2,-2,-1,0,-1,-1,2,-2,NAN
-1,-1,-2,0,1,-1,4,-5,NAN
-1,0,0,-1,1,0,0,-1,NAN
3,-1,-3,-4,-3,-2,1,1,NAN
-1,0,-1,-1,-1,-1,0,1,NAN
-1,0,0,-4,1,0,1,0,NAN
-1,-3,-1,0,0,1,4,-1,NAN
-2,0,-2,-2,-1,-1,5,0,NAN
-1,-2,-3,-2,-1,0,0,-2,NAN
-2,0,-1,-2,-2,0,1,0,NAN
0,-1,-2,-2,-1,-1,6,0,NAN
-4,-4,-1,-1,1,3,3,-5,NAN
2,-2,-1,-2,-3,-5,-1,4,NAN
-2,0,-1,1,-1,-3,1,0,NAN
-5,-2,-2,0,2,1,1,-6,NAN
0,0,-2,-2,-3,-2,0,1,NAN
-2,-3,0,-1,0,1,-5,-2,NAN
-1,-2,-3,-2,0,-2,-5,-1,NAN
2,2,-1,0,0,-1,-1,2,NAN
-1,-1,-3,0,-2,-3,-1,1,NAN
-1,0,1,-1,0,0,-5,-2,NAN
-1,-2,-1,-1,1,2,-4,0,NAN
1,-1,0,0,-3,-2,-1,-1,NAN
0,-3,0,1,-1,0,-1,-3,NAN
2,-1,-4,-2,-3,-1,-1,2,NAN
-2,-1,-2,-2,-2,0,-4,1,NAN
-1,1,-1,-2,0,-2,1,-2,NAN
0,-1,0,0,0,-4,-1,-1,NAN
0,0,0,0,-1,-1,0,-3,NAN
0,-1,2,0,-2,-1,3,0,NAN
1,-2,-3,-3,-3,-5,-3,2,NAN
-2,0,-1,0,-1,-1,0,-3,NAN
-2,-1,-2,-1,0,0,-1,-1,NAN
1,0,-2,0,-1,-3,-3,0,NAN
-1,-1,0,1,1,1,-2,-4,NAN
2,-1,-2,-3,-2,-3,2,3,NAN
-1,0,-1,0,0,-1,-3,-1,NAN
-3,-2,-1,-1,0,1,-14,-2,NAN
-1,-1,-1,-1,0,-1,1,0,NAN
-2,0,0,-3,-1,-1,-2,1,NAN
0,-1,-2,-1,0,0,-3,1,NAN
-1,-1,0,0,-4,-1,2,-3,NAN
-1,0,-1,-3,-2,-3,-7,3,NAN
-1,0,-2,-2,-1,1,-1,-2,NAN
-1,-1,-2,-2,-1,-2,-2,-3,NAN
1,3,-2,0,0,-3,2,-2,NAN
-2,-3,-2,-2,-2,0,-2,-2,NAN
1,0,0,-1,-2,-3,1,5,NAN
-3,-1,0,-2,-3,2,0,-1,NAN
1,-1,0,-1,-1,-2,-13,-3,NAN
-1,-2,-2,1,-1,1,0,-2,NAN
-2,-2,-2,-1,-1,-3,-2,-1,NAN
-2,0,-1,0,-2,-2,-1,-2,NAN
4,0,-2,-3,-2,-4,-3,5,NAN
-1,-2,-2,-1,0,0,4,-3,NAN
-2,-2,0,-2,0,-1,0,-2,NAN
-1,-1,-2,-1,-1,-1,-1,0,NAN
-1,2,0,0,-1,-1,1,-2,NAN
-1,-1,-1,-2,0,0,0,-4,NAN
-1,-1,-1,-1,-2,0,-1,-1,NAN
-1,-2,-1,-2,-1,-1,-2,0,NAN
-2,-2,-2,1,-1,-2,-11,-1,NAN
0,-2,0,-2,-1,-1,-1,0,NAN
-1,-2,0,0,-1,0,0,-1,NAN
1,-1,0,-2,-2,0,-3,-1,NAN
0,-3,-1,-4,-5,-2,2,3,NAN
-1,-3,-2,-1,-1,-2,0,-2,NAN
-2,-1,-2,0,1,-1,-2,-2,NAN
0,-2,0,-1,0,-1,-2,-2,NAN
-3,-3,-1,-2,1,-1,4,-3,NAN
-1,1,-1,0,-2,-1,-1,-1,NAN
-1,0,-2,0,-2,-2,2,-1,NAN
-2,-1,0,1,-1,1,-2,-6,NAN
3,-3,-4,-5,-4,-8,3,10,NAN
-1,1,0,-2,-3,0,-1,0,NAN
0,-1,0,1,-2,1,0,-4,NAN
-3,-2,0,-1,0,-1,3,-3,NAN
-1,2,0,-1,0,1,-1,-4,NAN
1,-3,-2,0,-1,-1,4,-1,NAN
-1,-3,-3,-1,-2,-1,-5,2,NAN
-1,0,0,-3,-3,-1,1,1,NAN
-3,-2,0,-1,1,2,5,-4,NAN
0,-1,-1,-3,-2,1,0,0,NAN
0,1,0,-2,0,-3,2,-1,NAN
0,0,-1,-1,1,-3,0,1,NAN
-2,1,2,-1,0,0,7,-5,NAN
-3,-2,0,0,0,0,2,-2,NAN
2,-1,-1,-2,-5,-3,4,8,NAN
-1,-1,-1,-1,-1,1,-3,-3,NAN
-1,0,-3,1,-1,-1,3,1,NAN
-1,0,0,-1,-1,-1,0,-3,NAN
-2,-2,-2,-2,0,1,-2,-2,NAN
-2,-2,-2,-2,1,1,0,1,NAN
-2,-1,0,-1,-2,3,-2,-7,NAN
-1,1,0,0,-1,3,-2,-3,NAN
-1,-2,-1,-1,0,-2,1,-1,NAN
0,-3,-2,1,-3,0,0,-4,NAN
-1,-4,0,-1,0,-2,-2,-2,NAN
-2,-1,-1,0,0,-3,-1,-1,NAN
-1,1,0,0,1,0,-1,-3,NAN
0,-2,0,-2,-2,-1,-3,2,NAN
-1,0,-1,-2,-2,-2,4,-2,NAN
-1,-2,0,0,-2,-3,0,-1,NAN
-1,0,0,0,1,0,-2,-2,NAN
-2,-2,-1,0,-2,-4,4,-1,NAN
-2,-2,-1,-1,1,0,-3,0,NAN
2,0,-1,-3,-1,-2,1,6,NAN
1,-1,-2,-3,-4,-4,-3,2,NAN
